user,service,value,s,task
afgomez,110000556 DEC,1,1696924160,machine_selection
afgomez,grinding-force-stats,1,1699448165,indicators-selection
afgomez,grinding-material-fed,1,1699448165,indicators-selection
afgomez,LG600B6-100636-IDK,1,1697013963,machine_selection
afgomez,LG600B6-100636-IDK,1,1699448165,machine_selection
afgomez,TDOMONWH2X1,0.5,1696924160,schema_monitoring
afgomez,TDOMONWH2X1,0.5,1697013963,schema_monitoring
afgomez,TDOMONWH2X1,0.5,1699448165,schema_monitoring
afgomez,TDOMONWH2X1,1,1696924160,schema_monitoring
afgomez,TDOMONWH2X1,1,1697013963,schema_monitoring
afgomez,TDOMONWH2X1,1,1699448165,schema_monitoring
afgomez,Wheelhead2Power,1,1696924160,signal_monitoring
afgomez,Wheelhead2Power,1,1697013963,signal_monitoring
dbarrenetxea,110000556 DEC,1,1695712669,machine_selection
dbarrenetxea,110000556 DEC,1,1695719808,machine_selection
dbarrenetxea,110000556 DEC,1,1695974644,machine_selection
dbarrenetxea,110000556 DEC,1,1696235962,machine_selection
dbarrenetxea,110000556 DEC,1,1696252132,machine_selection
dbarrenetxea,110000556 DEC,1,1696269078,machine_selection
dbarrenetxea,110000556 DEC,1,1696315412,machine_selection
dbarrenetxea,110000556 DEC,1,1696396209,machine_selection
dbarrenetxea,110000556 DEC,1,1696399219,machine_selection
dbarrenetxea,110000556 DEC,1,1696409190,machine_selection
dbarrenetxea,110000556 DEC,1,1696417669,machine_selection
dbarrenetxea,110000556 DEC,1,1696432557,machine_selection
dbarrenetxea,110000556 DEC,1,1696439221,machine_selection
dbarrenetxea,110000556 DEC,1,1696492466,machine_selection
dbarrenetxea,110000556 DEC,1,1696495346,machine_selection
dbarrenetxea,110000556 DEC,1,1696515594,machine_selection
dbarrenetxea,110000556 DEC,1,1696574567,machine_selection
dbarrenetxea,110000556 DEC,1,1696584197,machine_selection
dbarrenetxea,110000556 DEC,1,1696588683,machine_selection
dbarrenetxea,110000556 DEC,1,1696601954,machine_selection
dbarrenetxea,110000556 DEC,1,1696833946,machine_selection
dbarrenetxea,110000556 DEC,1,1696853613,machine_selection
dbarrenetxea,110000556 DEC,1,1696927289,machine_selection
dbarrenetxea,110000556 DEC,1,1696947802,machine_selection
dbarrenetxea,110000556 DEC,1,1697440392,machine_selection
dbarrenetxea,110000556 DEC,1,1697533040,machine_selection
dbarrenetxea,110000556 DEC,1,1697792878,machine_selection
dbarrenetxea,110000556 DEC,1,1697811041,machine_selection
dbarrenetxea,110000556 DEC,1,1697822875,machine_selection
dbarrenetxea,110000556 DEC,1,1698220506,machine_selection
dbarrenetxea,110000556 DEC,1,1698751430,machine_selection
dbarrenetxea,110000556 DEC,1,1699883345,machine_selection
dbarrenetxea,110000556 DEC,1,1699887765,machine_selection
dbarrenetxea,110000556 DEC,1,1699907890,machine_selection
dbarrenetxea,110000556 DEC,1,1699945049,machine_selection
dbarrenetxea,110000556 DEC,1,1699955808,machine_selection
dbarrenetxea,basic-basic-stats,1,1696269078,indicators-selection
dbarrenetxea,basic-basic-stats,1,1696584197,indicators-selection
dbarrenetxea,basic-basic-stats,1,1696588683,indicators-selection
dbarrenetxea,basic-quotient,1,1696269078,indicators-selection
dbarrenetxea,CAxisSpeed_actual,1,1695326615,signal_monitoring
dbarrenetxea,CAxisSpeed_actual,1,1696315412,signal_monitoring
dbarrenetxea,CAxisSpeed_actual,1,1696396209,signal_monitoring
dbarrenetxea,CAxisSpeed_actual,1,1696399219,signal_monitoring
dbarrenetxea,CAxisSpeed_actual,1,1697822875,signal_monitoring
dbarrenetxea,common-fft,1,1696315412,transformation_execution
dbarrenetxea,common-moving-average,1,1695715725,transformation_execution
dbarrenetxea,common-moving-average,1,1696269078,transformation_execution
dbarrenetxea,common-moving-average,1,1696315412,transformation_execution
dbarrenetxea,common-moving-average,1,1696409190,transformation_execution
dbarrenetxea,common-moving-average,1,1696601954,transformation_execution
dbarrenetxea,common-moving-average,1,1696833946,transformation_execution
dbarrenetxea,common-moving-average,1,1697822875,transformation_execution
dbarrenetxea,common-negate,1,1696269078,transformation_execution
dbarrenetxea,grinding-center,1,1695712669,transformation_execution
dbarrenetxea,grinding-center,1,1695715725,transformation_execution
dbarrenetxea,grinding-center,1,1695730449,transformation_execution
dbarrenetxea,grinding-center,1,1696252132,transformation_execution
dbarrenetxea,grinding-center,1,1696269078,transformation_execution
dbarrenetxea,grinding-center,1,1696315412,transformation_execution
dbarrenetxea,grinding-center,1,1696396209,transformation_execution
dbarrenetxea,grinding-center,1,1696399219,transformation_execution
dbarrenetxea,grinding-center,1,1696409190,transformation_execution
dbarrenetxea,grinding-center,1,1696439221,transformation_execution
dbarrenetxea,grinding-center,1,1696492466,transformation_execution
dbarrenetxea,grinding-center,1,1696584197,transformation_execution
dbarrenetxea,grinding-center,1,1697533040,transformation_execution
dbarrenetxea,grinding-center,1,1697811041,transformation_execution
dbarrenetxea,grinding-center,1,1698751430,transformation_execution
dbarrenetxea,grinding-center,1,1699887765,transformation_execution
dbarrenetxea,grinding-center,1,1699955808,transformation_execution
dbarrenetxea,grinding-contact-point,1,1696315412,indicators-selection
dbarrenetxea,grinding-defect-spark,1,1695730449,indicators-selection
dbarrenetxea,grinding-defect-spark,1,1696269078,indicators-selection
dbarrenetxea,grinding-defect-spark,1,1697822875,indicators-selection
dbarrenetxea,grinding-force-stats,1,1695730449,indicators-selection
dbarrenetxea,grinding-force-stats,1,1696269078,indicators-selection
dbarrenetxea,grinding-force-stats,1,1696315412,indicators-selection
dbarrenetxea,grinding-material-fed,1,1696315412,indicators-selection
dbarrenetxea,grinding-power-stats,1,1695715725,indicators-selection
dbarrenetxea,grinding-power-stats,1,1695730449,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696252132,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696269078,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696315412,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696396209,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696399219,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696409190,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696492466,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696515594,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696584197,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696588683,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696601954,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696927289,indicators-selection
dbarrenetxea,grinding-power-stats,1,1696947802,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697440392,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697533040,indicators-selection
dbarrenetxea,grinding-power-stats,1,1697811041,indicators-selection
dbarrenetxea,grinding-power-stats,1,1698751430,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699883345,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699887765,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699907890,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699945049,indicators-selection
dbarrenetxea,grinding-power-stats,1,1699955808,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695712669,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695715725,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1695730449,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1696269078,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1696315412,indicators-selection
dbarrenetxea,grinding-specific-energy,1,1699955808,indicators-selection
dbarrenetxea,grinding-stiffness,1,1695730449,indicators-selection
dbarrenetxea,grinding-stiffness,1,1696315412,indicators-selection
dbarrenetxea,LG1000 - 100672 IDK,1,1695326615,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1695715725,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1695730449,machine_selection
dbarrenetxea,LG600B6-100636-IDK,1,1696835328,machine_selection
dbarrenetxea,TDOMONWH2X1,0.5,1695326615,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695712669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695719808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695730449,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1695974644,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696235962,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696252132,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696269078,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696315412,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696396209,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696399219,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696409190,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696417669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696432557,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696439221,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696492466,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696495346,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696515594,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696574567,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696584197,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696588683,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696601954,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696833946,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696835328,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696853613,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696927289,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1696947802,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697440392,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697533040,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697792878,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697811041,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1697822875,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1698220506,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1698751430,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699883345,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699887765,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699907890,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699945049,schema_monitoring
dbarrenetxea,TDOMONWH2X1,0.5,1699955808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695326615,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695712669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695719808,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695730449,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1695974644,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696235962,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696252132,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696269078,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696315412,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696396209,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696399219,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696409190,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696417669,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696432557,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696439221,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696492466,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696495346,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696515594,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696574567,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696584197,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696588683,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696601954,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696833946,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696835328,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696853613,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696927289,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1696947802,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697440392,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697533040,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697792878,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697811041,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1697822875,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1698220506,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1698751430,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699883345,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699887765,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699907890,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699945049,schema_monitoring
dbarrenetxea,TDOMONWH2X1,1,1699955808,schema_monitoring
dbarrenetxea,TDOMONWH2X1Z1,0.5,1695715725,schema_monitoring
dbarrenetxea,TDOMONWH2X1Z1,1,1695715725,schema_monitoring
dbarrenetxea,Wheelhead2Power,1,1695326615,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695712669,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695715725,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1695730449,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696252132,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696269078,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696315412,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696396209,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696399219,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696409190,signal_monitoring
dbarrenetxea,Wheelhead2Power,1,1696492466,signal_monitoring
