,user,service,sum,value
0,0WFqeFiPx3K,capuccino decaffeinated,1.0,0.5
1,0a4Qn,arabiar tea,-4.0,0.001
2,0a4Qn,capuccino,4.0,0.8
3,0a4Qn,cortado,1.0,0.5
4,0a4Qn,cortado decaffeinated,1.0,0.5
5,0a4Qn,expresso,-4.0,0.001
6,0a4Qn,long_coffee,-2.0,0.2
7,0a4Qn,long_decaffeinated,-2.0,0.2
8,0a4Qn,milk_coffee,6.0,1.0
9,0a4Qn,milk_coffee kafeinagabe,0.5,0.45
10,0a4Qn,txokolate white,0.0,0.4
11,13zpiFiAzJ,expresso,2.0,0.5
12,2qDLEBNv,chocolate,4.0,0.15384615384615385
13,2qDLEBNv,expresso,3.0,0.07692307692307693
14,2qDLEBNv,hazelnut_cappuccino,2.0,0.001
15,2qDLEBNv,long_coffee,15.0,1.0
16,2qDLEBNv,milk_coffee,3.0,0.07692307692307693
17,5pVcV5V,chocolate,39.0,0.37373737373737376
18,5pVcV5V,hazelnut_cappuccino,101.0,1.0
19,5pVcV5V,milk_coffee,2.0,0.001
20,93xlxT,chocolate,133.0,1.0
21,93xlxT,cortado decaffeinated,41.0,0.30303030303030304
22,93xlxT,expresso,1.0,0.001
23,93xlxT,hazelnut_cappuccino,2.0,0.007575757575757576
24,CCMAqXtVdM,cortado,8.0,0.5
25,CkfZksM2rBrL,cortado,9.0,0.5
26,CuAgSlJwl,cortado,56.0,0.21951219512195122
27,CuAgSlJwl,expresso,2.0,0.001
28,CuAgSlJwl,milk_coffee,248.0,1.0
29,D6F0qp7s7,cortado,28.0,0.001
30,D6F0qp7s7,milk_coffee,38.0,1.0
31,F96Kv,hazelnut_cappuccino,1.0,0.5
32,F96Kv,long_decaffeinated,-2.0,0.001
33,F96Kv,milk_coffee,4.0,1.0
34,FHZemZ,capuccino,4.0,0.5
35,FmxgvxmU,capuccino decaffeinated,2.0,0.004310344827586207
36,FmxgvxmU,chocolate,3.0,0.008620689655172414
37,FmxgvxmU,cortado,233.0,1.0
38,FmxgvxmU,cortado decaffeinated,1.0,0.001
39,FmxgvxmU,decaffeinated,2.0,0.004310344827586207
40,FmxgvxmU,expresso,14.0,0.05603448275862069
41,FmxgvxmU,light_coffee,1.0,0.001
42,FmxgvxmU,milk_coffee,10.0,0.03879310344827586
43,I3RXU,cortado,-2.0,0.001
44,I3RXU,milk_coffee,12.0,1.0
45,IQtg13hB,expresso,71.0,0.5
46,M8TX69h8,arabiar tea,1.0,0.001
47,M8TX69h8,milk_coffee,26.0,1.0
48,OCUnH,arabiar tea,-2.0,0.375
49,OCUnH,capuccino,-1.0,0.4375
50,OCUnH,chocolate_milk,1.0,0.5625
51,OCUnH,cortado,-8.0,0.001
52,OCUnH,decaffeinated,-2.0,0.375
53,OCUnH,expresso,8.0,1.0
54,OCUnH,hazelnut_cappuccino,-2.0,0.375
55,OCUnH,light_coffee,-2.0,0.375
56,OCUnH,long_coffee,-2.0,0.375
57,OCUnH,long_decaffeinated,-1.0,0.4375
58,OCUnH,milk_coffee,1.0,0.5625
59,OJwzAJ33l,chocolate,2.0,0.001
60,OJwzAJ33l,expresso,4.0,0.1111111111111111
61,OJwzAJ33l,long_coffee,20.0,1.0
62,P5BAwzTfB,capuccino,3.0,0.25
63,P5BAwzTfB,capuccino decaffeinated,1.0,0.001
64,P5BAwzTfB,hazelnut_cappuccino,9.0,1.0
65,P5BAwzTfB,txokolate white,1.0,0.001
66,TRFKSXv,chocolate,3.0,0.5
67,Vhpk5shpkk,arabiar tea,1.0,0.001
68,Vhpk5shpkk,decaffeinated,17.0,1.0
69,Vhpk5shpkk,expresso,5.0,0.25
70,Vhpk5shpkk,milk_coffee kafeinagabe,1.0,0.001
71,Yx3rQ,capuccino,7.0,1.0
72,Yx3rQ,chocolate,-2.0,0.001
73,Yx3rQ,cortado,0.5,0.2777777777777778
74,Yx3rQ,cortado decaffeinated,-2.0,0.001
75,Yx3rQ,decaffeinated,-1.0,0.1111111111111111
76,Yx3rQ,hazelnut_cappuccino,0.5,0.2777777777777778
77,Yx3rQ,long_coffee,6.0,0.8888888888888888
78,anH4HDH,capuccino,4.0,0.5
79,d4guBrpB,capuccino,1.0,0.001
80,d4guBrpB,cortado,103.0,1.0
81,d4guBrpB,cortado decaffeinated,43.0,0.4117647058823529
82,d4guBrpB,expresso,2.0,0.00980392156862745
83,fJlBu,capuccino,4.0,1.0
84,fJlBu,cortado,1.0,0.7
85,fJlBu,milk_coffee,1.0,0.7
86,fJlBu,txokolate white,-6.0,0.001
87,fa6SQ,capuccino,1.5,0.7
88,fa6SQ,decaffeinated,-2.0,0.001
89,fa6SQ,hazelnut_cappuccino,3.0,1.0
90,fa6SQ,milk_coffee,2.5,0.9
91,gKUuuzg9,chocolate,57.0,0.22267206477732793
92,gKUuuzg9,light_coffee,2.0,0.001
93,gKUuuzg9,milk_coffee,249.0,1.0
94,iia5SP5,chocolate_milk,1.0,0.001
95,iia5SP5,hazelnut_cappuccino,6.0,1.0
96,jb1CjU1HF,chocolate,1.0,0.001
97,jb1CjU1HF,hazelnut_cappuccino,1.0,0.001
98,jb1CjU1HF,milk_coffee,8.0,1.0
99,oS7WZT0,milk_coffee,22.0,0.5
100,qpzNDzybrsi,expresso,16.0,0.5
101,sZfLY,expresso,2.0,0.5
102,uhDooz5uD,expresso,2.0,0.001
103,uhDooz5uD,milk_coffee,25.0,1.0
104,vRXyI,capuccino,-2.0,0.001
105,vRXyI,expresso,1.0,0.375
106,vRXyI,long_coffee,6.0,1.0
107,vRXyI,milk_coffee,-2.0,0.001
108,ws0cho3,cortado,0.5,0.5
109,ws0cho3,decaffeinated,-2.0,0.001
110,ws0cho3,expresso,3.0,1.0
111,ws0cho3,hazelnut_cappuccino,0.0,0.4
112,ws0cho3,milk_coffee,0.5,0.5
113,ymETMF4M4,capuccino,41.0,1.0
114,ymETMF4M4,decaffeinated,2.0,0.001
115,ymETMF4M4,long_coffee,10.0,0.20512820512820512
116,ymETMF4M4,long_decaffeinated,4.0,0.05128205128205128
